,Theta1,Theta2,Theta3,Power,Ancho_espectral
0,0.0,0.0,0,0.02816,68.16380628717093
1,4.0,0.0,0,0.02814475,68.35887850467293
2,8.0,0.0,0,0.02811,69.78011894647398
3,12.0,0.0,0,0.028035,71.87017841971124
4,16.0,0.0,0,0.027984333,73.20781648258276
5,20.0,0.0,0,0.02801125,72.78980458793535
6,24.0,0.0,0,0.02810775,72.6504672897197
7,28.0,0.0,0,0.0282135,68.1638062871707
8,32.0,0.0,0,0.02825575,70.19813084112161
9,36.0,0.0,0,0.02825575,68.94409515717939
10,40.0,0.0,0,0.0282345,69.6686491079015
11,44.0,0.0,0,0.0281885,70.56040781648267
12,48.0,0.0,0,0.02813975,71.61937128292266
13,52.0,0.0,0,0.02807075,71.39643160577748
14,56.0,0.0,0,0.028026,72.09311809685641
15,60.0,0.0,0,0.0279834,73.23568394222593
16,64.0,0.0,0,0.027827,76.05029736618508
17,68.0,0.0,0,0.02800325,72.37179269328794
18,72.0,0.0,0,0.0280685,70.0587935429055
19,76.0,0.0,0,0.02822275,64.73610875106215
20,80.0,0.0,0,0.0283175,62.59031435853876
21,84.0,0.0,0,0.028382,59.97077315208139
22,88.0,0.0,0,0.02842175,59.41342395921856
23,92.0,0.0,0,0.0284385,59.329821580289035
24,96.0,0.0,0,0.02843525,59.16261682242998
25,100.0,0.0,0,0.0284348,59.30195412064586
26,104.0,0.0,0,0.0284295,59.608496176720564
27,108.0,0.0,0,0.02842175,59.97077315208162
28,112.0,0.0,0,0.028377667,61.33627867459654
29,116.0,0.0,0,0.02838225,63.23126593033135
30,120.0,0.0,0,0.02829,65.76720475785896
31,124.0,0.0,0,0.028237,65.79507221750214
32,128.0,0.0,0,0.02814325,68.99983007646551
33,132.0,0.0,0,0.028116,71.03415463041642
34,136.0,0.0,0,0.02823375,62.86898895497029
35,140.0,0.0,0,0.028221,65.59999999999991
36,144.0,0.0,0,0.0280355,72.09311809685641
37,148.0,0.0,0,0.02786375,75.5208156329652
38,152.0,0.0,0,0.0277465,78.61410365335587
39,156.0,0.0,0,0.027685,79.17145284621915
40,160.0,0.0,0,0.0277468,77.02565845369577
41,164.0,0.0,0,0.027871,74.29464740866615
42,168.0,0.0,0,0.0279595,70.64401019541197
43,172.0,0.0,0,0.0280555,69.52931180968562
44,176.0,0.0,0,0.02810025,68.13593882752775
45,180.0,0.0,0,0.02809325,69.27850467289727
46,184.0,0.0,0,0.028069,70.08666100254891
47,188.0,0.0,0,0.02804525,71.75870858113854
48,192.0,0.0,0,0.028041,72.09311809685641
49,196.0,0.0,0,0.02810475,71.39643160577748
50,0.0,4.0,0,0.028097,74.04384027187757
51,4.0,4.0,0,0.028047,74.26677994902298
52,8.0,4.0,0,0.0280442,75.60441801189472
53,12.0,4.0,0,0.02800225,75.38147833474932
54,16.0,4.0,0,0.028028,72.09311809685641
55,20.0,4.0,0,0.028122,70.00305862361938
56,24.0,4.0,0,0.0282195,69.50144435004245
57,28.0,4.0,0,0.028274,69.72438402718763
58,32.0,4.0,0,0.0282855,70.08666100254891
59,36.0,4.0,0,0.028268,70.75548003398467
60,40.0,4.0,0,0.028237,72.98487680543758
61,44.0,4.0,0,0.02818225,71.89804587935441
62,48.0,4.0,0,0.02812675,72.4275276125743
63,52.0,4.0,0,0.0280725,72.67833474936288
64,56.0,4.0,0,0.0280425,75.99456244689895
65,60.0,4.0,0,0.0279815,74.26677994902298
66,64.0,4.0,0,0.0279692,71.98164825828371
67,68.0,4.0,0,0.0280715,69.80798640611715
68,72.0,4.0,0,0.028126667,63.426338147833576
69,76.0,4.0,0,0.02828775,60.55598980458808
70,80.0,4.0,0,0.02839075,59.21835174171633
71,84.0,4.0,0,0.0284615,58.77247238742575
72,88.0,4.0,0,0.0284815,58.13152081563294
73,92.0,4.0,0,0.0284825,58.10365335598976
74,96.0,4.0,0,0.02848425,58.18725573491929
75,100.0,4.0,0,0.02848425,59.27408666100246
76,104.0,4.0,0,0.02847975,59.692098555649864
77,108.0,4.0,0,0.0284745,60.3051826677995
78,112.0,4.0,0,0.0284545,63.53780798640605
79,116.0,4.0,0,0.02840425,64.62463891248944
80,120.0,4.0,0,0.028397,65.51639762107061
81,124.0,4.0,0,0.02829325,68.49821580288881
82,128.0,4.0,0,0.028187333,69.89158878504668
83,132.0,4.0,0,0.028157,68.60968564146128
84,136.0,4.0,0,0.02822125,62.72965165675441
85,140.0,4.0,0,0.0282855,69.38997451146975
86,144.0,4.0,0,0.02816775,74.93559898045896
87,148.0,4.0,0,0.02797325,77.44367034834318
88,152.0,4.0,0,0.02783525,79.2271877655055
89,156.0,4.0,0,0.02775575,78.30756159728116
90,160.0,4.0,0,0.02774875,75.66015293118107
91,164.0,4.0,0,0.02786575,73.45862361937111
92,168.0,4.0,0,0.027967,70.22599830076456
93,172.0,4.0,0,0.02806,69.4457094307561
94,176.0,4.0,0,0.0281044,69.52931180968562
95,180.0,4.0,0,0.02810675,69.94732370433303
96,184.0,4.0,0,0.028086,71.5636363636363
97,188.0,4.0,0,0.028084,71.73084112149536
98,192.0,4.0,0,0.02809375,71.5636363636363
99,196.0,4.0,0,0.028116,68.91622769753599
100,0.0,8.0,0,0.028381,70.36533559898044
101,4.0,8.0,0,0.0281325,70.56040781648267
102,8.0,8.0,0,0.02818625,70.58827527612561
103,12.0,8.0,0,0.02817575,70.67187765505514
104,16.0,8.0,0,0.02815125,72.17672047578594
105,20.0,8.0,0,0.02811975,73.17994902293958
106,24.0,8.0,0,0.0280812,72.87340696686488
107,28.0,8.0,0,0.028052667,70.42107051826679
108,32.0,8.0,0,0.02808775,68.74902293967716
109,36.0,8.0,0,0.02819625,68.52608326253198
110,40.0,8.0,0,0.02829025,69.86372132540373
111,44.0,8.0,0,0.02832075,70.03092608326256
112,48.0,8.0,0,0.02831225,71.3685641461343
113,52.0,8.0,0,0.0282595,71.70297366185218
114,56.0,8.0,0,0.02822925,74.96346644010191
115,60.0,8.0,0,0.02811025,73.87663551401874
116,64.0,8.0,0,0.0279815,76.18963466440096
117,68.0,8.0,0,0.02802075,74.96346644010191
118,72.0,8.0,0,0.0279824,75.68802039082402
119,76.0,8.0,0,0.028047333,68.88836023789281
120,80.0,8.0,0,0.02795025,63.00832625318617
121,84.0,8.0,0,0.028163,62.70178419711124
122,88.0,8.0,0,0.0283915,58.21512319456224
123,92.0,8.0,0,0.02846825,58.63313508920987
124,96.0,8.0,0,0.0285535,58.883942225998226
125,100.0,8.0,0,0.0285705,59.05114698385728
126,104.0,8.0,0,0.02856575,58.99541206457093
127,108.0,8.0,0,0.0285575,60.16584536958362
128,112.0,8.0,0,0.02854425,60.11011045029727
129,116.0,8.0,0,0.0285705,61.33627867459654
130,120.0,8.0,0,0.0285476,62.450977060322884
131,124.0,8.0,0,0.028529667,66.3802888700086
132,128.0,8.0,0,0.0285355,65.68360237892966
133,132.0,8.0,0,0.02851475,65.96227697536096
134,136.0,8.0,0,0.028461,68.99983007646574
135,140.0,8.0,0,0.028343,72.31605777400182
136,144.0,8.0,0,0.02823075,68.08020390824117
137,148.0,8.0,0,0.0281385,68.72115548003399
138,152.0,8.0,0,0.02830775,72.92914188615123
139,156.0,8.0,0,0.028336,76.16176720475778
140,160.0,8.0,0,0.02815,77.75021240441811
141,164.0,8.0,0,0.02795,77.16499575191165
142,168.0,8.0,0,0.0278825,74.3503823279525
143,172.0,8.0,0,0.027892,73.26355140186911
144,176.0,8.0,0,0.02796,72.56686491079017
145,180.0,8.0,0,0.0280395,71.73084112149536
146,184.0,8.0,0,0.028093,71.0341546304162
147,188.0,8.0,0,0.028156,69.38997451146975
148,192.0,8.0,0,0.02822725,68.49821580288881
149,196.0,8.0,0,0.02832325,65.0983857264232
150,0.0,12.0,0,0.0285715,73.79303313508922
151,4.0,12.0,0,0.028473,73.90450297366192
152,8.0,12.0,0,0.02804,74.68479184367038
153,12.0,12.0,0,0.028060333,75.35361087510614
154,16.0,12.0,0,0.02805525,74.85199660152944
155,20.0,12.0,0,0.02800975,74.76839422259991
156,24.0,12.0,0,0.02797825,74.60118946474086
157,28.0,12.0,0,0.02796475,73.09634664401005
158,32.0,12.0,0,0.02796,70.9226847918435
159,36.0,12.0,0,0.027985,68.97196261682234
160,40.0,12.0,0,0.0280725,70.19813084112138
161,44.0,12.0,0,0.0281875,70.42107051826679
162,48.0,12.0,0,0.02825425,71.53576890399313
163,52.0,12.0,0,0.0282585,70.05879354290573
164,56.0,12.0,0,0.028239,75.99456244689895
165,60.0,12.0,0,0.02820975,66.71469838572648
166,64.0,12.0,0,0.0282202,72.48326253186065
167,68.0,12.0,0,0.028088333,70.92268479184372
168,72.0,12.0,0,0.028253,76.60764655904859
169,76.0,12.0,0,0.02824975,73.48649107901429
170,80.0,12.0,0,0.028219,62.47884451996583
171,84.0,12.0,0,0.02793375,61.47561597281242
172,88.0,12.0,0,0.02792925,58.7167374681394
173,92.0,12.0,0,0.0283245,58.29872557349199
174,96.0,12.0,0,0.028466,58.85607476635528
175,100.0,12.0,0,0.02855475,58.85607476635505
176,104.0,12.0,0,0.0285775,58.800339847068926
177,108.0,12.0,0,0.02855975,58.15938827527634
178,112.0,12.0,0,0.0285544,58.828207306711874
179,116.0,12.0,0,0.02854125,60.58385726423103
180,120.0,12.0,0,0.028585667,61.97723024638913
181,124.0,12.0,0,0.0285815,64.26236193712839
182,128.0,12.0,0,0.02856175,65.54426508071379
183,132.0,12.0,0,0.02855275,63.06406117247229
184,136.0,12.0,0,0.028536,71.92591333899736
185,140.0,12.0,0,0.028542,77.69447748513176
186,144.0,12.0,0,0.0285145,71.5636363636363
187,148.0,12.0,0,0.0282685,70.11452846219208
188,152.0,12.0,0,0.027999,68.49821580288858
189,156.0,12.0,0,0.028202,71.39643160577725
190,160.0,12.0,0,0.028396,72.20458793542912
191,164.0,12.0,0,0.028398,70.9505522514869
192,168.0,12.0,0,0.028239,68.44248088360246
193,172.0,12.0,0,0.02817625,67.10484282073071
194,176.0,12.0,0,0.028195,65.82293967714531
195,180.0,12.0,0,0.02831525,64.9869158878505
196,184.0,12.0,0,0.02844375,61.057604078164786
197,188.0,12.0,0,0.028514,60.94613423959231
198,192.0,12.0,0,0.02852625,60.583857264231256
199,196.0,12.0,0,0.0285805,63.23126593033135
200,0.0,16.0,0,0.02865525,72.09311809685664
201,4.0,16.0,0,0.0286226,72.28819031435842
202,8.0,16.0,0,0.028536,72.87340696686488
203,12.0,16.0,0,0.02821425,73.37502124044181
204,16.0,16.0,0,0.028105,73.8209005947324
205,20.0,16.0,0,0.0280895,73.98810535259145
206,24.0,16.0,0,0.02807975,74.96346644010191
207,28.0,16.0,0,0.02806325,74.09957519116392
208,32.0,16.0,0,0.0280305,73.40288870008499
209,36.0,16.0,0,0.028005,71.08988954970278
210,40.0,16.0,0,0.02799025,68.77689039932034
211,44.0,16.0,0,0.02801725,67.74579439252352
212,48.0,16.0,0,0.0280508,67.32778249787611
213,52.0,16.0,0,0.02812,68.83262531860669
214,56.0,16.0,0,0.0281835,69.27850467289727
215,60.0,16.0,0,0.02827975,66.0737468139339
216,64.0,16.0,0,0.028333,68.72115548003399
217,68.0,16.0,0,0.02834225,64.12302463891251
218,72.0,16.0,0,0.028301,68.52608326253198
219,76.0,16.0,0,0.02833525,66.71469838572648
220,80.0,16.0,0,0.028329,75.32574341546297
221,84.0,16.0,0,0.02842025,75.29787595581979
222,88.0,16.0,0,0.0283915,63.5099405267631
223,92.0,16.0,0,0.0283655,63.00832625318617
224,96.0,16.0,0,0.0280535,59.88717077315209
225,100.0,16.0,0,0.0278048,57.74137638062871
226,104.0,16.0,0,0.028265,58.07578589634659
227,108.0,16.0,0,0.028419667,58.66100254885305
228,112.0,16.0,0,0.028483,58.63313508920987
229,116.0,16.0,0,0.028569,58.18725573491929
230,120.0,16.0,0,0.02858075,59.552761257433986
231,124.0,16.0,0,0.02855775,60.5002548853015
232,128.0,16.0,0,0.02855825,62.311639762107006
233,132.0,16.0,0,0.02857725,63.67714528462193
234,136.0,16.0,0,0.02858,64.8754460492778
235,140.0,16.0,0,0.02857175,65.18198810535273
236,144.0,16.0,0,0.0285515,71.31282922684795
237,148.0,16.0,0,0.0285425,78.64197111299927
238,152.0,16.0,0,0.0285018,76.96992353440965
239,156.0,16.0,0,0.02846725,71.08988954970278
240,160.0,16.0,0,0.028271,72.09311809685641
241,164.0,16.0,0,0.02798825,68.16380628717093
242,168.0,16.0,0,0.02809175,66.6868309260833
243,172.0,16.0,0,0.02834825,67.69005947323717
244,176.0,16.0,0,0.02839175,64.81971112999145
245,180.0,16.0,0,0.0284235,64.37383177570086
246,184.0,16.0,0,0.0284045,63.34273576890405
247,188.0,16.0,0,0.028406,62.785386576040764
248,192.0,16.0,0,0.02845625,63.17553101104522
249,196.0,16.0,0,0.028538,65.0983857264232
250,0.0,20.0,0,0.028639,73.98810535259122
251,4.0,20.0,0,0.0286045,74.09957519116392
252,8.0,20.0,0,0.028547333,74.4339847068818
253,12.0,20.0,0,0.02837375,74.37824978759545
254,16.0,20.0,0,0.0282485,74.43398470688203
255,20.0,20.0,0,0.02802175,73.65369583687334
256,24.0,20.0,0,0.02800475,73.48649107901451
257,28.0,20.0,0,0.027993,73.01274426508076
258,32.0,20.0,0,0.027987,70.67187765505514
259,36.0,20.0,0,0.027981,69.11129991503822
260,40.0,20.0,0,0.02797975,67.46711979609177
261,44.0,20.0,0,0.02798525,66.6868309260833
262,48.0,20.0,0,0.02803475,66.51962616822448
263,52.0,20.0,0,0.028131,68.24740866610045
264,56.0,20.0,0,0.0282455,66.46389124893813
265,60.0,20.0,0,0.028355667,64.5689039932031
266,64.0,20.0,0,0.028425,62.70178419711124
267,68.0,20.0,0,0.028453,61.921495327103
268,72.0,20.0,0,0.02843875,66.04587935429072
269,76.0,20.0,0,0.0284345,64.26236193712839
270,80.0,20.0,0,0.0285295,70.53254035683949
271,84.0,20.0,0,0.02856825,77.025658453696
272,88.0,20.0,0,0.028555,66.04587935429049
273,92.0,20.0,0,0.02846275,61.50348343245537
274,96.0,20.0,0,0.028431,62.95259133389982
275,100.0,20.0,0,0.0281652,59.24621920135928
276,104.0,20.0,0,0.0277775,57.76924384027188
277,108.0,20.0,0,0.028129,57.79711129991506
278,112.0,20.0,0,0.02839625,58.10365335598976
279,116.0,20.0,0,0.02849375,59.99864061172457
280,120.0,20.0,0,0.028544,61.08547153780796
281,124.0,20.0,0,0.02858075,60.277315208156324
282,128.0,20.0,0,0.02859425,63.56567544604923
283,132.0,20.0,0,0.02857625,65.51639762107061
284,136.0,20.0,0,0.0285795,65.32132540356838
285,140.0,20.0,0,0.02857925,68.55395072217493
286,144.0,20.0,0,0.02858675,79.86813933729832
287,148.0,20.0,0,0.0285478,87.19728122344941
288,152.0,20.0,0,0.028494,74.46185216652498
289,156.0,20.0,0,0.02851875,71.39643160577748
290,160.0,20.0,0,0.0284415,76.38470688190318
291,164.0,20.0,0,0.0281475,72.42752761257452
292,168.0,20.0,0,0.027877,65.96227697536096
293,172.0,20.0,0,0.02813825,64.48530161427357
294,176.0,20.0,0,0.02832375,63.64927782497875
295,180.0,20.0,0,0.0282725,64.95904842820732
296,184.0,20.0,0,0.02820825,71.25709430756183
297,188.0,20.0,0,0.028325,79.19932030586256
298,192.0,20.0,0,0.0284884,83.74171622769745
299,196.0,20.0,0,0.028587333,86.86287170773153
300,0.0,24.0,0,0.028383,75.99456244689873
301,4.0,24.0,0,0.0279895,76.38470688190318
302,8.0,24.0,0,0.02783225,76.2453695836873
303,12.0,24.0,0,0.02806875,76.18963466440096
304,16.0,24.0,0,0.02830375,75.07493627867461
305,20.0,24.0,0,0.02828775,74.74052676295673
306,24.0,24.0,0,0.02797,74.12744265080732
307,28.0,24.0,0,0.0279536,73.26355140186934
308,32.0,24.0,0,0.027931667,72.51112999150382
309,36.0,24.0,0,0.02794325,71.56363636363653
310,40.0,24.0,0,0.027959,70.64401019541219
311,44.0,24.0,0,0.02798425,69.19490229396774
312,48.0,24.0,0,0.027997,67.52285471537812
313,52.0,24.0,0,0.02803575,66.71469838572648
314,56.0,24.0,0,0.028074,67.80152931180987
315,60.0,24.0,0,0.02817775,67.43925233644859
316,64.0,24.0,0,0.02829475,65.85080713678849
317,68.0,24.0,0,0.02838625,63.90008496176711
318,72.0,24.0,0,0.028468,62.311639762107006
319,76.0,24.0,0,0.0285264,61.837892948173476
320,80.0,24.0,0,0.028547333,67.04910790144436
321,84.0,24.0,0,0.0285495,63.14766355140182
322,88.0,24.0,0,0.02858425,66.1852166525066
323,92.0,24.0,0,0.02862875,77.97315208156328
324,96.0,24.0,0,0.028666,68.60968564146151
325,100.0,24.0,0,0.02865725,61.64282073067125
326,104.0,24.0,0,0.02852675,60.862531860662784
327,108.0,24.0,0,0.02847725,60.36091758708608
328,112.0,24.0,0,0.02841025,57.96431605777411
329,116.0,24.0,0,0.02797125,58.52166525063717
330,120.0,24.0,0,0.02806325,57.434834324554004
331,124.0,24.0,0,0.0283955,59.44129141886151
332,128.0,24.0,0,0.02852225,63.67714528462193
333,132.0,24.0,0,0.0285715,61.336278674596315
334,136.0,24.0,0,0.0286135,61.8100254885303
335,140.0,24.0,0,0.02861325,64.20662701784204
336,144.0,24.0,0,0.02860775,65.04265080713685
337,148.0,24.0,0,0.02861125,69.19490229396774
338,152.0,24.0,0,0.02859725,82.79422259982994
339,156.0,24.0,0,0.028615,87.33661852166529
340,160.0,24.0,0,0.02861825,74.60118946474086
341,164.0,24.0,0,0.02860225,72.9570093457944
342,168.0,24.0,0,0.028573,75.57655055225155
343,172.0,24.0,0,0.0284522,82.84995751911651
344,176.0,24.0,0,0.02807325,79.05998300764668
345,180.0,24.0,0,0.027981333,78.9206457094308
346,184.0,24.0,0,0.028161,80.98283772302466
347,188.0,24.0,0,0.02834325,84.10399320305851
348,192.0,24.0,0,0.02834375,85.74817332200519
349,196.0,24.0,0,0.02812425,72.31605777400159
350,0.0,28.0,0,0.02816925,77.30433305012752
351,4.0,28.0,0,0.0280215,77.02565845369577
352,8.0,28.0,0,0.0278345,76.60764655904859
353,12.0,28.0,0,0.028176,75.85522514868308
354,16.0,28.0,0,0.0284366,74.07170773152097
355,20.0,28.0,0,0.028390667,72.7619371282924
356,24.0,28.0,0,0.028235,71.61937128292288
357,28.0,28.0,0,0.0279185,70.69974511469854
358,32.0,28.0,0,0.02790475,68.52608326253198
359,36.0,28.0,0,0.027941,67.71792693288035
360,40.0,28.0,0,0.0279815,65.71146983857284
361,44.0,28.0,0,0.02807925,65.40492778249791
362,48.0,28.0,0,0.02816875,65.60000000000014
363,52.0,28.0,0,0.02826525,65.46066270178426
364,56.0,28.0,0,0.02834875,64.37383177570109
365,60.0,28.0,0,0.028413,63.23126593033135
366,64.0,28.0,0,0.0284792,62.08870008496183
367,68.0,28.0,0,0.028549667,60.86253186066256
368,72.0,28.0,0,0.028598,62.450977060322884
369,76.0,28.0,0,0.02866475,66.32455395072225
370,80.0,28.0,0,0.02869075,65.43279524214108
371,84.0,28.0,0,0.02867575,60.55598980458785
372,88.0,28.0,0,0.02868125,69.50144435004245
373,92.0,28.0,0,0.02869525,81.40084961767207
374,96.0,28.0,0,0.0287205,64.40169923534427
375,100.0,28.0,0,0.02869475,62.39524214103653
376,104.0,28.0,0,0.0285755,60.83466440101961
377,108.0,28.0,0,0.02856225,61.30841121495337
378,112.0,28.0,0,0.028627,61.28054375531019
379,116.0,28.0,0,0.028392,61.614953271027844
380,120.0,28.0,0,0.02799625,62.450977060322884
381,124.0,28.0,0,0.028316333,62.33950722175041
382,128.0,28.0,0,0.0285185,62.172302463891356
383,132.0,28.0,0,0.028582,64.01155480034004
384,136.0,28.0,0,0.02859725,65.79507221750214
385,140.0,28.0,0,0.02855475,64.6525063721324
386,144.0,28.0,0,0.02854825,75.99456244689895
387,148.0,28.0,0,0.02855175,88.42344944774868
388,152.0,28.0,0,0.02855375,76.99779099405282
389,156.0,28.0,0,0.028609,74.87986406117261
390,160.0,28.0,0,0.02859975,74.90773152081579
391,164.0,28.0,0,0.0285248,77.30433305012752
392,168.0,28.0,0,0.02849825,84.94001699235355
393,172.0,28.0,0,0.028295667,87.11367884452011
394,176.0,28.0,0,0.0279365,87.7546304163127
395,180.0,28.0,0,0.0279705,75.96669498725578
396,184.0,28.0,0,0.02823225,72.14885301614277
397,188.0,28.0,0,0.0282845,75.49294817332202
398,192.0,28.0,0,0.028285,76.18963466440096
399,196.0,28.0,0,0.02810675,76.46830926083271
400,0.0,32.0,0,0.028138,78.97638062871715
401,4.0,32.0,0,0.0284086,78.55836873406975
402,8.0,32.0,0,0.0283615,77.91741716227693
403,12.0,32.0,0,0.028288333,76.55191163976224
404,16.0,32.0,0,0.02825025,75.18640611724732
405,20.0,32.0,0,0.0282095,73.17994902293981
406,24.0,32.0,0,0.02819225,71.64723874256583
407,28.0,32.0,0,0.0282445,70.22599830076479
408,32.0,32.0,0,0.0279045,69.33423959218362
409,36.0,32.0,0,0.0279225,66.96550552251483
410,40.0,32.0,0,0.027948,65.85080713678849
411,44.0,32.0,0,0.028039,63.5935429056924
412,48.0,32.0,0,0.02814225,61.28054375531019
413,52.0,32.0,0,0.0282585,60.723194562446906
414,56.0,32.0,0,0.0283518,60.08224299065432
415,60.0,32.0,0,0.028413,58.828207306711874
416,64.0,32.0,0,0.02846,58.63313508920987
417,68.0,32.0,0,0.02853725,57.96431605777411
418,72.0,32.0,0,0.028609,57.04468988954977
419,76.0,32.0,0,0.02869025,55.59558198810555
420,80.0,32.0,0,0.02877425,56.23653355989791
421,84.0,32.0,0,0.02886975,60.97400169923549
422,88.0,32.0,0,0.02895925,62.36737468139336
423,92.0,32.0,0,0.029016,64.17875955819886
424,96.0,32.0,0,0.029041,62.450977060322884
425,100.0,32.0,0,0.0290624,66.90977060322871
426,104.0,32.0,0,0.029063,78.66983857264245
427,108.0,32.0,0,0.029053333,62.95259133389959
428,112.0,32.0,0,0.029026,61.89362786745983
429,116.0,32.0,0,0.028912,60.97400169923549
430,120.0,32.0,0,0.02876475,62.08870008496183
431,124.0,32.0,0,0.028713,62.25590484282088
432,128.0,32.0,0,0.02874875,62.28377230246406
433,132.0,32.0,0,0.028617,61.22480883602384
434,136.0,32.0,0,0.02827375,70.50467289719631
435,140.0,32.0,0,0.028369,68.47034834324563
436,144.0,32.0,0,0.028552,68.99983007646551
437,148.0,32.0,0,0.0285772,73.7372982158031
438,152.0,32.0,0,0.02856725,87.47595581988116
439,156.0,32.0,0,0.028535,77.94528462192011
440,160.0,32.0,0,0.0285395,76.16176720475801
441,164.0,32.0,0,0.02861025,74.93559898045874
442,168.0,32.0,0,0.0285545,74.79626168224308
443,172.0,32.0,0,0.0284095,76.85845369583694
444,176.0,32.0,0,0.02830675,76.71911639762106
445,180.0,32.0,0,0.0282,72.2324553950723
446,184.0,32.0,0,0.02789875,73.54222599830064
447,188.0,32.0,0,0.027931,75.88309260832625
448,192.0,32.0,0,0.02815975,76.44044180118954
449,196.0,32.0,0,0.02820675,79.05998300764668
450,0.0,36.0,0,0.0282645,78.97638062871692
451,4.0,36.0,0,0.0283445,77.80594732370446
452,8.0,36.0,0,0.02839625,76.63551401869177
453,12.0,36.0,0,0.02833375,74.18317757009368
454,16.0,36.0,0,0.028258,70.92268479184372
455,20.0,36.0,0,0.028163,69.2506372132541
456,24.0,36.0,0,0.02803775,67.49498725573494
457,28.0,36.0,0,0.0279645,65.73933729821579
458,32.0,36.0,0,0.02829225,63.98368734069686
459,36.0,36.0,0,0.0280036,63.091928632115696
460,40.0,36.0,0,0.028088,62.646049277824886
461,44.0,36.0,0,0.028163667,62.59031435853876
462,48.0,36.0,0,0.02824,62.56244689889559
463,52.0,36.0,0,0.02835325,62.53457943925241
464,56.0,36.0,0,0.0284675,62.255904842820655
465,60.0,36.0,0,0.0285675,60.277315208156324
466,64.0,36.0,0,0.028667,59.99864061172457
467,68.0,36.0,0,0.0287755,59.85930331350892
468,72.0,36.0,0,0.028894,59.83143585386574
469,76.0,36.0,0,0.02899325,59.747833474936215
470,80.0,36.0,0,0.02904575,59.079014443500455
471,84.0,36.0,0,0.0290606,58.549532710280346
472,88.0,36.0,0,0.029060333,58.29872557349199
473,92.0,36.0,0,0.02904875,60.3051826677995
474,96.0,36.0,0,0.029046,61.726423109600546
475,100.0,36.0,0,0.02903775,62.56244689889559
476,104.0,36.0,0,0.02904175,63.53780798640605
477,108.0,36.0,0,0.0290385,69.08343245539527
478,112.0,36.0,0,0.029046,81.31724723874254
479,116.0,36.0,0,0.02905125,76.2453695836873
480,120.0,36.0,0,0.02903475,75.91096006796943
481,124.0,36.0,0,0.028984,76.49617672047589
482,128.0,36.0,0,0.02891075,76.57977909940541
483,132.0,36.0,0,0.0288086,76.16176720475801
484,136.0,36.0,0,0.028768333,75.5208156329652
485,140.0,36.0,0,0.02873625,76.99779099405282
